BlockID_Flint,BlockID_Flint2,ward,CommercialBldgCount,CommercialBldgTotArea,Lat,Long,E_Income,M_Income,FID_2,E_Total,E_M_Total,E_MLT05,E_M05_09,E_M10_14,E_M15_17,E_M18_19,E_M20,E_M21,E_M22_24,E_M25_29,E_M30_34,E_M35_39,E_M40_44,E_M45_49,E_M50_54,E_M55_59,E_M60_61,E_M62_64,E_M65_66,E_M67_69,E_M70_74,E_M75_79,E_M80_84,E_M85up,E_F_Total,E_FLT05,E_F05_09,E_F10_14,E_F15_17,E_F18_19,E_F20,E_F21,E_F22_24,E_F25_29,E_F30_34,E_F35_39,E_F40_44,E_F45_49,E_F50_54,E_F55_59,E_F60_61,E_F62_64,E_F65_66,E_F67_69,E_F70_74,E_F75_79,E_F80_84,E_F85up,M_Total,M_M_Total,M_MLT05,M_M05_09,M_M10_14,M_M15_17,M_M18_19,M_M20,M_M21,M_M22_24,M_M25_29,M_M30_34,M_M35_39,M_M40_44,M_M45_49,M_M50_54,M_M55_59,M_M60_61,M_M62_64,M_M65_66,M_M67_69,M_M70_74,M_M75_79,M_M80_84,M_M85up,M_F_Total,M_FLT05,M_F05_09,M_F10_14,M_F15_17,M_F18_19,M_F20,M_F21,M_F22_24,M_F25_29,M_F30_34,M_F35_39,M_F40_44,M_F45_49,M_F50_54,M_F55_59,M_F60_61,M_F62_64,M_F65_66,M_F67_69,M_F70_74,M_F75_79,M_F80_84,M_F85up
block7,7,1,7,14272.29297,43.070221,-83.700477,15655,10508,6,401,198,17,7,14,26,0,0,0,27,0,0,0,4,55,26,0,0,15,0,0,7,0,0,0,203,19,15,7,0,15,0,0,0,8,15,8,6,0,30,23,0,15,0,7,13,0,8,14,199,128,18,10,21,30,10,10,10,38,10,10,10,9,60,29,10,10,24,10,10,10,10,10,10,103,22,22,11,10,23,10,10,10,12,22,12,9,10,33,24,10,20,10,10,19,10,11,14
block70,70,3,3,5051.589844,43.040416,-83.672777,44632,17005,69,479,236,17,0,15,0,0,17,0,13,38,19,0,54,17,25,21,0,0,0,0,0,0,0,0,243,78,16,11,0,0,12,0,15,23,0,38,33,0,7,10,0,0,0,0,0,0,0,0,227,110,28,10,20,10,10,25,10,22,32,19,10,44,25,22,16,10,10,10,10,10,10,10,10,137,69,21,15,10,10,17,10,24,23,10,35,30,10,11,14,10,10,10,10,10,10,10,10
block71,71,4,7,7843.570313,43.040567,-83.66806,0,0,70,385,170,2,1,0,10,11,0,0,1,0,43,17,0,26,19,33,0,0,7,0,0,0,0,0,215,0,0,48,0,5,8,0,1,0,44,26,0,20,19,38,6,0,0,0,0,0,0,0,161,76,9,6,10,13,13,10,10,5,10,32,26,10,30,17,30,10,10,10,10,10,10,10,10,133,10,10,72,10,9,13,10,5,10,59,27,10,17,28,27,10,10,10,10,10,10,10,10
block72,72,4,13,14466.93359,43.03613,-83.667948,0,0,71,213,114,0,0,6,9,0,0,0,0,0,0,35,20,0,15,14,0,10,0,0,0,0,0,5,99,0,0,19,10,0,0,0,0,14,0,9,6,7,7,0,15,0,0,0,6,6,0,0,118,74,10,10,9,15,10,10,10,10,10,10,34,31,10,16,15,10,13,10,10,10,10,10,8,64,10,10,30,15,10,10,10,10,15,10,14,9,10,9,10,15,10,10,10,8,9,10,10
block73,73,5,26,24453.6875,43.035699,-83.674878,18250,6922,72,441,231,0,24,24,0,0,0,0,37,1,20,0,11,0,12,25,0,23,17,26,6,5,0,0,210,0,12,44,0,0,13,0,16,21,13,6,8,0,17,38,13,1,0,0,0,0,8,0,151,78,10,36,25,10,10,10,10,30,2,23,10,17,10,13,19,10,24,18,25,8,9,10,10,93,10,17,47,10,10,19,10,25,22,19,9,12,10,17,42,22,3,10,10,10,10,12,10
block74,74,4,40,63210.47656,43.034643,-83.660027,19440,8955,73,398,210,11,20,18,14,0,4,9,2,3,30,0,15,27,25,7,5,13,0,7,0,0,0,0,188,14,8,0,14,0,0,0,0,9,22,13,30,8,6,19,6,10,0,0,9,20,0,0,147,85,16,18,16,15,10,7,12,5,5,28,10,17,25,29,11,9,15,10,10,10,10,10,10,71,16,12,10,15,10,10,10,10,14,24,14,23,9,8,18,9,11,10,10,13,29,10,10
block75,75,4,28,71235.43359,43.042679,-83.661212,21723,12252,74,619,345,8,24,20,6,0,9,0,29,10,31,25,30,61,30,16,0,14,3,3,18,8,0,0,274,7,0,13,12,11,0,18,0,24,25,20,19,52,18,7,11,11,20,3,0,3,0,0,202,122,11,39,22,10,10,19,10,30,16,31,28,26,45,27,13,10,20,6,6,23,15,10,10,101,9,10,20,17,16,10,30,10,32,23,23,21,47,19,8,13,12,17,6,10,6,10,10
block76,76,4,14,23232.51953,43.037646,-83.659849,0,0,75,778,408,44,35,27,7,8,0,0,0,56,10,51,47,28,58,4,0,15,0,12,0,6,0,0,370,30,41,9,13,0,0,11,6,25,26,36,20,40,50,46,0,5,0,0,0,6,6,0,285,152,46,32,24,10,13,10,10,10,37,19,39,44,22,41,6,10,25,10,12,10,10,10,10,150,42,37,14,15,10,10,16,10,28,24,40,29,30,28,44,10,10,10,10,10,8,9,10
block77,77,4,22,411038.2109,43.046619,-83.652842,26469,10979,76,754,406,0,15,0,26,0,0,57,23,106,21,28,0,0,63,44,0,0,0,0,11,12,0,0,348,51,24,0,0,0,24,15,0,0,26,14,0,64,47,22,17,0,10,12,11,0,11,0,258,168,10,25,10,32,10,10,49,34,76,26,28,10,10,48,48,10,10,10,10,16,18,10,10,144,47,49,10,10,10,34,23,10,10,25,25,10,59,52,26,21,10,16,17,18,10,17,10
block78,78,4,4,6001.007813,43.046008,-83.648317,35595,17932,77,992,548,86,57,67,0,0,0,0,0,62,34,12,48,13,39,50,34,0,0,23,12,0,11,0,444,0,19,6,11,60,0,0,0,71,91,37,0,7,25,53,9,0,20,23,12,0,0,0,339,198,85,62,44,10,10,10,10,10,43,31,18,49,20,31,38,31,10,10,22,17,10,17,10,161,10,28,12,17,70,10,10,10,67,64,32,10,12,29,37,14,10,27,23,18,10,10,10
