VISIT_AREA_NM,REVISIT_INTENTION,RCMDTN_INTENTION,X_COORD,Y_COORD,Total_value
KT플라자 홍대애드샵플러스점,3,3,126.924591,37.55706228,6
K스타PC카페 북성동점,3,3,126.6181091,37.47565731,6
K현대미술관,3,3,127.0391332,37.52434988,6
K호텔,3,3,127.282763,37.39150755,6
L7 강남,11,13,127.0517538,37.5057648,24
L7 명동,14,14,126.9869886,37.5613843,28
L7 홍대,10,10,126.9215616,37.555698,20
L7 홍대 21층 라운지,3,3,126.9215616,37.555698,6
LA코코보일링 본점,5,5,126.6865102,37.3414954,10
LCDC서울,38,39,127.061546,37.54173532,77
LF스퀘어 양주,4,5,127.0522939,37.83139323,9
LF스퀘어 양주점,4,4,127.0522916,37.83139233,8
LG아트센터 서울,3,4,126.8292781,37.56536922,7
LH서울양원1단지아파트,4,4,127.1071161,37.60900254,8
LP바 제플린,5,5,127.0229401,37.50324028,10
LP음악카페 아바,5,4,126.7360224,37.39824285,9
LS용산타워,4,4,126.967814,37.5279887,8
LX22베이커리카페,12,13,127.4794416,37.65847525,25
M&M펜션,10,10,127.379946,37.68119989,20
MBC드림센터,4,5,126.7705505,37.65563873,9
MBC신사옥,2,4,126.8903698,37.58117853,6
MLB 인천점,3,3,126.6279464,37.47232524,6
MPX갤러리,2,3,126.9259604,37.52505513,5
MUL호텔,3,3,127.0352977,37.50511493,6
MUNIVERSE,3,3,128.6367967,35.78801417,6
MY24모텔,10,11,126.6256582,37.46941407,21
M모텔,4,4,126.9808431,37.47603503,8
NAVER그린팩토리,3,3,127.1050176,37.35953059,6
NC백화점 강서점,9,8,126.8405167,37.55997536,17
NC백화점 고잔점,4,3,126.8310157,37.31353101,7
NC백화점 불광점,4,3,126.9289208,37.60970729,7
NC백화점 야탑점,4,4,127.1274816,37.4109281,8
NC큐브 커넬워크 겨울동,3,4,126.6396162,37.40188793,7
NC큐브 커넬워크 봄동,2,2,126.6353845,37.39789246,4
NC큐브 커넬워크 여름동,7,7,126.6364745,37.39901308,14
NOSH,3,4,126.9117645,37.48523177,7
North124,3,3,127.3028603,37.53634353,6
OK마트 양수점,2,2,127.3191044,37.54405924,4
Ofr 서울,11,12,126.9717992,37.58012145,23
P1904,5,5,126.9517968,37.54199741,10
PB가평휴게소상행선,4,4,127.0669254,37.28422019,8
PC토랑 용죽점,2,3,127.1255172,36.99244244,5
PEEK,3,4,127.0468352,37.48045306,7
PJ호텔,24,24,126.9957215,37.56479161,48
Paint Coffee&Bar,5,5,127.0046196,37.58917971,10
R&J씨어터,5,5,127.0052756,37.5803067,10
R52,3,3,127.631793,37.30019057,6
RPM,4,4,127.0390072,37.52667118,8
RSG,9,8,127.0599376,37.5425448,17
Refresh,5,5,126.5534492,33.4807173,10
R게스트하우스,13,13,126.9892143,37.57302359,26
S-OIL 수원,5,5,126.9590151,37.29279458,10
S2A,3,3,127.0656232,37.50339908,6
SAVVY,4,4,127.1051871,37.50817373,8
SETEC,4,4,127.072197,37.49590067,8
SH아트홀,6,7,127.0035684,37.5798887,13
SK주유소팝업스토어,8,9,126.9841846,37.56894241,17
SK행복충전 송내IC충전소,3,3,126.7506364,37.48335813,6
SOFA,5,5,126.881792,37.41814589,10
SPACE R,4,3,127.0333064,37.52883533,7
SRT수서역 주차장,5,5,127.1058119,37.48530834,10
SR디자인호텔,24,25,127.2065806,37.23481244,49
Stdo,3,3,127.0420564,37.54740846,6
Studio 19,10,8,127.0352575,37.4862203,18
S마트,5,5,127.0373915,37.20787596,10
S쁘띠호텔,4,4,127.7245764,37.86946222,8
S스테이호텔,8,7,127.0031343,37.26879614,15
S호텔,1,1,127.0766911,37.61645128,2
T7호텔,5,5,127.2090284,37.23646787,10
TROUBADOUR 이태원점,8,7,126.9935871,37.53474501,15
TROUBADOUR 홍대점,4,3,126.9251507,37.55645716,7
TWG Tea 잠실 롯데 에비뉴엘 월드타워점,5,5,127.1017483,37.51281061,10
Tesla 충주 수퍼차저,3,3,127.8351705,37.00108271,6
T타워,5,5,126.9756275,37.55391233,10
T팩토리,9,10,126.9223949,37.55534536,19
W몰,7,7,126.8879393,37.47743857,14
W지우리조트,4,4,127.5232845,37.79979393,8
XYM 월곶점,3,3,126.7406296,37.39055113,6
YC글램핑,5,5,126.96602,38.0382214,10
YH1커피,4,4,126.9252079,37.57394733,8
Y호텔,5,5,126.9363214,37.55335077,10
ZARA 롯데아울렛서울역점,5,4,126.9709363,37.55460324,9
cj 햇반 팝업스토어-쌀창고등학교,4,4,129.2683951,35.86073309,8
coffee box,3,3,126.7528584,33.38870699,6
e편한세상부평역센트럴파크아파트,3,3,126.7156701,37.48665522,6
e편한세상시티미사오피스텔,16,16,127.1899675,37.56453434,32
e편한세상신곡포레스타뷰아파트,8,8,127.0678322,37.74425959,16
h'654 현대프리미엄아울렛 김포점,4,4,126.785193,37.59744914,8
h키친 현대프리미엄아울렛김포점,4,4,126.7855785,37.59927795,8
jw메리어트9층 라운지,5,5,127.7120528,37.88463102,10
jw메리어트서울,5,5,127.0429371,37.51703215,10
m365카페,3,4,126.4244399,33.24131911,7
mtl 효창,5,5,126.9609169,37.54200619,10
srt수서,5,5,127.0429371,37.51703215,10
srt수서역,5,5,127.0574929,37.2846117,10
story A,5,5,126.9991639,37.53626607,10
zara 강남역점,5,5,127.0250976,37.50219107,10
zara 눈스퀘어점,4,4,126.9824574,37.56351457,8
zara 롯데월드몰점,4,3,127.1040841,37.51369155,7
zara 롯데잠실점,4,4,127.0985619,37.51188347,8
zara 트리플스트리트점,3,3,126.6593946,37.38091318,6
ㅊa 차이나타운점,9,9,126.6191743,37.47382179,18
가구공감,4,5,126.9329706,37.51898025,9
가나아트센터,5,5,126.9751192,37.61230741,10
가나아트파크,4,4,126.9496635,37.72556692,8
가나아트파크 미술관,5,5,126.9487518,37.72519173,10
가나아트파크 아트놀이터,5,5,126.9490691,37.72569641,10
가나아트파크 야외공연장,5,5,126.9496364,37.72540834,10
가나아트파크 어린이체험관,5,5,126.9497493,37.72621926,10
가나아트파크 조각공원,3,5,126.9496815,37.72586605,8
가나안초계국수,3,3,126.8279421,37.60093306,6
가네끼스시,3,5,126.9241461,37.49124468,8
가능솔밭숯불갈비,3,3,127.0346569,37.74766796,6
가둘기정원펜션,8,9,127.5163301,37.90033737,17
가드너스,12,13,126.6961725,37.78964289,25
가든파이브,9,9,127.1246444,37.47782241,18
가든파이브라이프 영관,4,4,127.1260471,37.47694514,8
가든포에트,9,9,126.9237401,37.55018892,18
가디온,6,7,127.3120774,37.39285293,13
가락동농수산물도매시장 수산시장,5,5,127.1088587,37.49280555,10
가락몰,4,4,127.1161542,37.49409425,8
가람,12,11,127.3159662,37.53350799,23
가람마을3단지동문아파트,5,2,126.7582478,37.73181317,7
가래골농원 캠핑장,8,8,127.1592808,37.99385591,16
가로수브루잉컴퍼니,5,5,127.022013,37.51949097,10
